Time,1mRNAc(),mRNAc()
25260.70636,19,23
25288.70742,20,22
25316.70776,20,21
25344.71019,19,22
25372.71093,19,23
25400.71143,18,23
25428.71666,17,23
25456.7254,16,23
25484.72801,16,23
25512.73174,16,25
25540.73187,16,25
25568.73197,16,26
25596.73663,15,27
25624.7373,16,27
25652.73812,15,27
25680.74356,16,26
25708.74708,17,25
25736.7491,18,25
25764.75031,19,25
25792.75885,19,24
25820.76472,19,25
25848.76832,19,27
25876.76904,18,28
25904.77301,18,27
25932.77408,20,27
25960.77954,18,27
25988.80369,18,26
26016.80677,18,27
26044.80859,19,27
26072.80883,19,26
26100.81195,19,25
26128.81357,20,25
26156.81462,20,25
26184.82639,18,24
26212.8454,18,23
26240.8466,17,23
26268.84687,17,23
26296.85867,19,23
26324.8601,19,23
26352.86622,19,23
26380.86755,19,23
26408.88364,20,22
26436.88802,20,22
26464.89234,20,20
26492.90725,18,20
26520.90928,18,20
26548.91014,19,20
26576.91096,20,20
26604.91358,20,21
26632.91452,20,22
26660.91633,20,22
26688.91843,20,22
26716.92028,20,25
26744.93653,20,25
26772.94624,21,25
26800.94992,21,24
26828.96357,20,24
26856.97056,20,25
26884.97197,19,24
26912.97421,18,24
26940.98795,18,25
26969.00835,17,25
26997.01443,17,27
27025.0219,17,26
27053.02256,17,25
27081.02513,18,25
27109.02689,18,25
27137.02753,18,25
27165.02871,18,24
27193.0365,19,23
27221.04075,19,23
27249.0467,18,23
27277.05106,18,24
27305.06784,18,25
27333.07859,18,24
27361.0856,17,24
27389.08763,17,24
27417.09147,17,24
27445.09267,17,24
27473.09653,18,24
27501.09815,17,24
27529.10107,17,24
27557.10701,17,24
27585.11911,17,24
27613.12943,17,25
27641.1328,17,25
27669.13617,16,25
27697.13843,17,25
27725.13872,17,25
27753.13905,19,24
27781.13918,18,24
27809.14439,17,25
27837.1513,17,25
27865.15244,16,25
27893.15606,16,25
27921.16431,17,25
27949.16887,17,26
27977.17006,17,25
28005.18065,17,25
28033.1859,17,24
28061.18657,17,25
28089.19339,16,25
28117.19375,16,25
28145.19477,16,25
28173.19702,16,25
28201.19734,16,26
28229.1994,16,26
28257.20037,14,27
28285.20931,14,27
28313.21078,15,27
,,28
,,30
,,29
,,30
